you ha ha
<s> 0.380 0.400 0.999900
you 0.410 0.670 0.128332
<sil> 0.680 0.880 0.999900
ha 0.890 1.610 0.102298
ha 1.620 1.970 1.000000
cocked hat hot and that had lacked i don't know and a lead of where'd it would be and it the move that up to me and all that he continued on a holy or near the hot hot it we it and why mark what what hooked on it but who
<s> 2.110 2.180 0.988861
cocked(2) 2.190 4.030 0.003899
<sil> 4.040 4.160 0.820597
hat 4.170 4.870 0.594306
hot 4.880 5.510 0.282622
<sil> 5.520 5.610 0.881161
and 5.620 5.800 0.289661
that 5.810 6.360 0.799934
had 6.370 6.770 0.419203
<sil> 6.780 7.190 0.991039
<sil> 7.200 7.320 0.961939
lacked 7.330 8.620 0.005525
i 8.630 8.740 0.205670
don't(2) 8.750 9.110 0.413622
know 9.120 9.260 0.939970
and 9.270 10.100 0.992130
a 10.110 10.180 0.437624
<sil> 10.190 10.390 0.833250
<sil> 10.400 10.540 0.709326
lead 10.550 10.770 0.012984
of 10.780 10.880 0.059076
where'd(2) 10.890 11.710 0.001457
<sil> 11.720 12.400 0.993024
it 12.410 12.530 0.729616
would 12.540 13.000 0.991833
be 13.010 13.190 0.243372
and(2) 13.200 13.280 0.076047
<sil> 13.290 13.440 0.535437
it 13.450 13.770 0.032222
the(2) 13.780 13.840 0.000776
move 13.850 14.060 0.000242
that(2) 14.070 14.630 0.994713
up 14.640 14.710 0.006646
to(3) 14.720 15.130 0.079088
<sil> 15.140 15.270 0.924679
me 15.280 15.440 0.121172
and(2) 15.450 15.770 0.164868
all 15.780 15.930 0.046173
that 15.940 16.110 0.020522
he 16.120 16.230 0.101930
continued 16.240 16.790 0.224928
on 16.800 17.060 0.493328
a 17.070 17.100 0.485982
holy 17.110 17.920 0.382927
or(2) 17.930 18.390 0.183325
near 18.400 18.810 0.005872
<sil> 18.820 21.120 0.996605
the(2) 21.130 21.400 0.763203
<sil> 21.410 22.250 0.994216
<sil> 22.260 23.270 0.997004
hot 23.280 24.520 0.011150
hot 24.530 24.760 0.012973
it 24.770 25.270 0.261910
we 25.280 25.410 0.256877
it 25.420 25.550 0.021966
and 25.560 26.890 0.998401
why(2) 26.900 28.750 0.692157
<sil> 28.760 28.850 0.757272
mark 28.860 29.820 0.018580
what 29.830 30.020 0.075328
what(2) 30.030 31.060 0.999100
[SPEECH] 31.070 31.100 0.549707
<sil> 31.110 31.130 0.842215
hooked 31.140 32.910 0.056066
on 32.920 33.020 0.021471
it 33.030 33.250 0.081807
but 33.260 33.900 0.054387
<sil> 33.910 33.930 0.271865
who 33.940 34.670 0.405999
<sil> 34.680 35.150 0.997802
</s> 35.160 36.210 1.000000
oh
<s> 36.550 36.590 1.000000
oh 36.600 36.710 0.164670
</s> 36.720 36.930 1.000000
